,propertyCode,price,operation,size,rooms,bathrooms,latitude,longitude,priceByArea,propertyType,floorNumeric
14,31186872,285000.0,sale,85.0,2,1,38.737552799999996,-9.121356500000001,3353.0,flat,2.0
15,31186861,280000.0,sale,80.0,1,2,38.7404528,-9.1197565,3500.0,flat,3.0
16,31186860,285000.0,sale,85.0,2,1,38.7378528,-9.1193565,3353.0,flat,2.0
18,31186858,290000.0,sale,85.0,2,1,38.7367528,-9.1181565,3412.0,flat,1.0
19,29711133,877942.0,sale,296.0,5,4,38.76711470000001,-9.1284544,2966.0,flat,3.0
21,30475310,798298.0,sale,284.0,4,4,38.76751470000001,-9.1277544,2811.0,flat,1.0
22,29711131,904799.0,sale,303.0,4,4,38.76901470000001,-9.128254400000001,2986.0,flat,3.0
23,31154668,721050.0,sale,211.0,3,3,38.766814700000005,-9.125754400000002,3417.0,flat,3.0
24,29711134,881647.0,sale,300.0,4,4,38.768514700000004,-9.1264544,2939.0,flat,2.0
25,29711127,816820.0,sale,288.0,4,4,38.7663147,-9.1269544,2836.0,flat,2.0
27,31054618,520000.0,sale,130.0,3,2,38.7218882,-9.1346685,4000.0,flat,2.0
28,31041835,850000.0,sale,120.0,3,3,38.711034399999996,-9.1638021,7083.0,flat,2.0
30,30965570,450000.0,sale,96.0,2,1,38.7389859,-9.134117,4688.0,flat,2.0
32,30827517,278000.0,sale,88.0,3,2,38.7596098,-9.1225157,3159.0,flat,6.0
36,31009202,475000.0,sale,98.0,3,2,38.7565945,-9.1362252,4847.0,flat,4.0
37,30974246,172500.0,sale,50.0,2,1,38.7293995,-9.1155236,3450.0,flat,1.0
38,30957819,355000.0,sale,78.0,2,2,38.719474299999995,-9.1406867,4551.0,flat,4.0
0,30748933,730000.0,sale,260.0,4,3,38.7654968,-9.156878599999999,2808.0,penthouse,8.0
1,29948186,724800.0,sale,135.0,3,3,38.7193263,-9.16235,5369.0,flat,5.0
3,30960630,295000.0,sale,87.0,2,2,38.7301346,-9.130193199999999,3391.0,flat,1.0
4,31109408,350000.0,sale,71.0,2,1,38.729258200000004,-9.131983900000002,4930.0,flat,3.0
5,31091801,340000.0,sale,71.0,2,2,38.720915999999995,-9.1324754,4789.0,flat,2.0
6,31048787,4950000.0,sale,602.0,6,7,38.721722,-9.160846800000002,8223.0,flat,9.0
8,31011872,515000.0,sale,100.0,2,2,38.727631,-9.1451721,5150.0,flat,0.0
9,30956653,375000.0,sale,80.0,2,2,38.714530200000006,-9.162738699999998,4688.0,flat,3.0
11,30714127,860000.0,sale,122.0,3,2,38.73684420000001,-9.145375300000001,7049.0,flat,0.0
12,30113614,995000.0,sale,173.0,3,2,38.709044,-9.1501743,5751.0,flat,2.0
15,31000086,599500.0,sale,136.0,3,2,38.7338101,-9.136712900000001,4408.0,flat,0.0
16,30797718,990000.0,sale,195.5,4,3,38.7305724,-9.145955599999999,5064.0,flat,1.0
17,30704639,330000.0,sale,55.0,1,1,38.7104627,-9.1507312,6000.0,flat,3.0
21,29851486,1500000.0,sale,370.0,5,5,38.7492971,-9.1494526,4054.0,flat,7.0
23,31038788,515000.0,sale,100.0,2,2,38.726731,-9.1431721,5150.0,flat,0.0
25,31086337,150000.0,sale,98.0,4,2,38.7589241,-9.123596699999998,1531.0,flat,5.0
26,31084752,796125.0,sale,139.0,2,3,38.7319662,-9.1441794,5728.0,flat,11.0
27,31065314,1248000.0,sale,280.0,5,4,38.7185547,-9.1628868,4457.0,duplex,1.0
28,31041659,1700000.0,sale,210.0,4,4,38.708102399999994,-9.158338699999998,8095.0,flat,4.0
32,30973024,179000.0,sale,105.0,4,2,38.753424100000004,-9.1193106,1705.0,flat,3.0
34,30879117,218000.0,sale,38.0,1,1,38.712686700000006,-9.1286951,5737.0,flat,2.0
35,30879116,248000.0,sale,46.0,2,1,38.7099998,-9.127148,5391.0,flat,1.0
36,30868629,758000.0,sale,132.0,4,3,38.7114886,-9.1371314,5742.0,flat,3.0
37,30864259,519000.0,sale,151.0,3,2,38.725189799999995,-9.1175263,3437.0,flat,12.0
39,30786871,798000.0,sale,150.0,2,2,38.710208,-9.144488800000001,5320.0,flat,5.0
